horizon_steps,horizon_ms,rmse_positional_error_m
1,5.000000000109139,0.0012002873487077387
2,10.000000000218279,0.002329932419645047
3,15.000000000327418,0.003407325518852842
4,20.000000000436557,0.004481552675266694
5,25.000000000545697,0.005567434517882947
6,30.000000000654836,0.006654617911799622
7,35.000000000763976,0.007742045750605554
8,40.000000000873115,0.008826603132484815
9,45.000000000982254,0.009922155833254414
10,50.000000001091394,0.011024780453960877
11,55.00000000120053,0.012127645852625895
12,60.00000000130967,0.013233620629903365
13,65.00000000141881,0.014339034413181696
14,70.00000000152795,0.0154367323183909
15,75.00000000163709,0.01653458478632455
16,80.00000000174623,0.017630585996662798
17,85.00000000185537,0.018726664015359967
18,90.00000000196451,0.019824828686415295
19,95.00000000207365,0.020923589468168958
20,100.00000000218279,0.02201990332468494
21,105.00000000229193,0.023121359667229082
22,110.00000000240107,0.024222595773521476
23,115.0000000025102,0.02532065820043468
24,120.00000000261934,0.026417727965466046
25,125.00000000272848,0.02751675786579218
26,130.00000000283762,0.02861587828609037
27,135.00000000294676,0.029715418318519822
28,140.0000000030559,0.030812971607572567
29,145.00000000316504,0.03191225833090499
30,150.00000000327418,0.03301782590740776
31,155.00000000338332,0.03412385634006464
32,160.00000000349246,0.03521838434421222
33,165.0000000036016,0.03631158639539466
34,170.00000000371074,0.037406014917183365
35,175.00000000381988,0.038498650795757636
36,180.00000000392902,0.03958802302992431
37,185.00000000403816,0.04067785578387895
38,190.0000000041473,0.0417669952648038
39,195.00000000425644,0.04285579829737404
40,200.00000000436557,0.04394279617071232
41,205.0000000044747,0.0450296577531079
42,210.00000000458385,0.04611208195497044
43,215.000000004693,0.04719390867179381
44,220.00000000480213,0.04827690483622548
45,225.00000000491127,0.049359038784216394
46,230.0000000050204,0.05043239448549911
47,235.00000000512955,0.051510160461159075
48,240.0000000052387,0.052593429136044464
49,245.00000000534783,0.0536722841684724
50,250.00000000545697,0.05473843876242947
